source	target
NR1H4	Gallbladder Carcinoma
NT5E	Gallbladder Carcinoma
PEBP1	Gallbladder Carcinoma
PLK1	Gallbladder Carcinoma
PTEN	Gallbladder Carcinoma
PTGS2	Gallbladder Carcinoma
PTGS2	Gallbladder Carcinoma
ROBO1	Gallbladder Carcinoma
SHH	Gallbladder Carcinoma
SSBP2	Gallbladder Carcinoma
STMN1	Gallbladder Carcinoma
TIMP1	Gallbladder Carcinoma
TOP2A	Gallbladder Carcinoma
TOP2A	Gallbladder Carcinoma
TP53	Gallbladder Carcinoma
UHRF1	Gallbladder Carcinoma
VIM	Gallbladder Carcinoma
AFP	Intrahepatic Cholangiocarcinoma
AFP	Intrahepatic Cholangiocarcinoma
AKT1	Intrahepatic Cholangiocarcinoma
ARID1A	Intrahepatic Cholangiocarcinoma
BRAF	Intrahepatic Cholangiocarcinoma
CAPNS1	Intrahepatic Cholangiocarcinoma
CCND1	Intrahepatic Cholangiocarcinoma
CCND1	Intrahepatic Cholangiocarcinoma
CD151	Intrahepatic Cholangiocarcinoma
CDKN2A	Intrahepatic Cholangiocarcinoma
CDKN2A	Intrahepatic Cholangiocarcinoma
CPS1	Intrahepatic Cholangiocarcinoma
HMGA2	Intrahepatic Cholangiocarcinoma
IDH1	Intrahepatic Cholangiocarcinoma
KRT7	Intrahepatic Cholangiocarcinoma
MUC1	Intrahepatic Cholangiocarcinoma
MUC5AC	Intrahepatic Cholangiocarcinoma
NOTCH1	Intrahepatic Cholangiocarcinoma
PIK3CA	Intrahepatic Cholangiocarcinoma
PTEN	Intrahepatic Cholangiocarcinoma
RASA1	Intrahepatic Cholangiocarcinoma
RUNX3	Intrahepatic Cholangiocarcinoma
S100A11	Intrahepatic Cholangiocarcinoma
SERPINH1	Intrahepatic Cholangiocarcinoma
SFRP1	Intrahepatic Cholangiocarcinoma
SMAD4	Intrahepatic Cholangiocarcinoma
SMAD4	Intrahepatic Cholangiocarcinoma
TAT	Intrahepatic Cholangiocarcinoma
TP53	Intrahepatic Cholangiocarcinoma
TP53	Intrahepatic Cholangiocarcinoma
TP53	Intrahepatic Cholangiocarcinoma
WWOX	Intrahepatic Cholangiocarcinoma
PRR11	Klatskin's Tumor
SLC38A1	Klatskin's Tumor
SNAI1	Klatskin's Tumor
TACSTD2	Klatskin's Tumor
TP73	Klatskin's Tumor
